iter	Passed	Remaining
574	19440	14369
575	19479	14339
576	19519	14309
577	19560	14281
578	19599	14251
579	19639	14221
580	19680	14193
581	19690	14141
582	19728	14111
583	19769	14082
584	19820	14060
585	19866	14035
586	19910	14008
587	19953	13981
588	19997	13954
589	20036	13923
590	20075	13892
591	20114	13862
592	20153	13831
593	20192	13801
594	20234	13773
595	20275	13743
596	20318	13715
597	20357	13684
598	20398	13655
599	20438	13625
600	20477	13594
601	20516	13564
602	20557	13534
603	20597	13504
604	20637	13474
605	20677	13443
606	20716	13412
607	20756	13382
608	20798	13353
609	20811	13305
610	20861	13281
611	20903	13252
612	20946	13223
613	20993	13197
614	21035	13168
615	21079	13140
616	21118	13109
617	21160	13079
618	21200	13048
619	21205	12997
620	21244	12965
621	21285	12935
622	21324	12904
623	21363	12872
624	21402	12841
625	21442	12810
626	21484	12780
627	21532	12754
628	21570	12722
629	21609	12691
630	21648	12659
631	21688	12628
632	21728	12597
633	21771	12568
634	21820	12542
635	21862	12512
636	21905	12482
637	21948	12453
638	21991	12423
639	22032	12393
640	22070	12360
641	22112	12330
642	22137	12290
643	22175	12258
644	22216	12227
645	22259	12197
646	22300	12167
647	22341	12136
648	22380	12103
649	22386	12054
650	22425	12022
651	22464	11990
652	22502	11957
653	22542	11926
654	22580	11893
655	22619	11861
656	22658	11829
657	22663	11779
658	22702	11747
659	22742	11715
660	22786	11686
661	22835	11659
662	22881	11630
663	22892	11584
664	22934	11553
665	22977	11523
666	23020	11493
667	23064	11463
668	23105	11431
669	23145	11400
670	23185	11367
671	23194	11320
672	23234	11289
673	23275	11257
674	23315	11225
675	23354	11193
676	23393	11161
677	23434	11129
678	23473	11097
679	23512	11064
680	23550	11031
681	23588	10998
682	23627	10966
683	23667	10933
684	23705	10901
685	23745	10869
686	23789	10838
687	23835	10809
688	23890	10783
689	23934	10753
690	23967	10717
691	24009	10686
692	24047	10653
693	24085	10620
694	24125	10587
695	24136	10542
696	24174	10508
697	24213	10476
698	24255	10444
699	24293	10411
700	24301	10365
701	24339	10332
702	24377	10298
703	24415	10265
704	24452	10231
705	24489	10198
706	24529	10165
707	24566	10132
708	24606	10099
709	24646	10066
710	24652	10020
711	24690	9987
712	24729	9954
713	24772	9922
714	24814	9891
715	24862	9861
716	24903	9829
717	24948	9798
718	24989	9766
719	24995	9720
720	25033	9687
721	25075	9654
722	25112	9621
723	25149	9587
724	25190	9555
725	25229	9522
726	25268	9488
727	25305	9454
728	25342	9420
729	25380	9387
730	25418	9353
731	25455	9319
732	25492	9285
733	25530	9252
734	25568	9218
735	25607	9185
736	25645	9151
737	25681	9117
738	25720	9083
739	25762	9051
740	25804	9019
741	25855	8990
742	25897	8957
743	25940	8925
744	25998	8898
745	26037	8865
746	26076	8831
747	26115	8798
748	26153	8764
749	26191	8730
750	26231	8697
751	26269	8663
752	26314	8631
753	26366	8602
754	26419	8573
755	26464	8541
756	26511	8510
757	26524	8468
758	26572	8437
759	26621	8406
760	26674	8377
761	26727	8347
762	26779	8318
763	26829	8287
764	26881	8257
765	26932	8227
766	26976	8194
767	27019	8162
768	27061	8129
769	27101	8095
770	27143	8062
771	27181	8027
772	27221	7993
773	27262	7960
774	27277	7919
775	27315	7884
776	27353	7850
777	27391	7816
778	27430	7782
779	27471	7748
780	27510	7714
781	27547	7679
782	27586	7645
783	27626	7611
784	27665	7577
785	27703	7542
786	27744	7508
787	27785	7475
788	27828	7442
789	27875	7409
790	27918	7376
791	27959	7343
792	28001	7309
793	28040	7274
794	28077	7240
795	28115	7205
796	28154	7171
797	28192	7136
798	28232	7102
799	28270	7067
800	28308	7032
801	28346	6998
802	28381	6962
803	28418	6927
804	28458	6893
805	28497	6859
806	28534	6824
807	28573	6789
808	28611	6754
809	28649	6720
810	28687	6685
811	28726	6651
812	28768	6617
813	28810	6583
814	28856	6550
815	28899	6516
816	28939	6482
817	28979	6447
818	29016	6412
819	29051	6377
820	29089	6342
821	29127	6307
822	29163	6272
823	29204	6237
824	29241	6202
825	29276	6167
826	29313	6132
827	29349	6096
828	29386	6061
829	29424	6026
830	29460	5991
831	29497	5956
832	29537	5921
833	29573	5886
834	29611	5851
835	29650	5816
836	29686	5781
837	29724	5746
838	29733	5705
839	29773	5671
840	29785	5631
841	29825	5596
842	29873	5563
843	29916	5529
844	29957	5495
845	29997	5460
846	30036	5425
847	30076	5391
848	30112	5355
849	30149	5320
850	30186	5285
851	30228	5251
852	30265	5215
853	30302	5180
854	30337	5144
855	30373	5109
856	30410	5074
857	30446	5038
858	30484	5003
859	30521	4968
860	30558	4933
861	30595	4898
862	30634	4863
863	30671	4827
864	30711	4793
865	30753	4758
866	30794	4723
867	30834	4689
868	30880	4655
869	30889	4615
870	30930	4580
871	30972	4546
872	31009	4511
873	31046	4475
874	31084	4440
875	31121	4405
876	31158	4370
877	31195	4334
878	31204	4295
879	31239	4259
880	31276	4224
881	31313	4189
882	31349	4153
883	31387	4118
884	31425	4083
885	31461	4048
886	31499	4012
887	31536	3977
888	31573	3942
889	31612	3907
890	31649	3871
891	31685	3836
892	31727	3801
893	31766	3766
894	31806	3731
895	31850	3696
896	31895	3662
897	31936	3627
898	31972	3592
899	32009	3556
900	32048	3521
901	32085	3485
902	32122	3450
903	32160	3415
904	32200	3380
905	32237	3344
906	32274	3309
907	32311	3273
908	32348	3238
909	32385	3202
910	32423	3167
911	32461	3132
912	32498	3096
913	32535	3061
914	32573	3025
915	32612	2990
916	32650	2955
917	32688	2919
918	32729	2884
919	32769	2849
920	32813	2814
921	32855	2779
922	32900	2744
923	32939	2709
924	32979	2674
925	33019	2638
926	33057	2603
927	33092	2567
928	33129	2531
929	33167	2496
930	33205	2461
931	33243	2425
932	33279	2389
933	33316	2354
934	33354	2318
935	33390	2283
936	33420	2247
937	33459	2211
938	33497	2176
939	33535	2140
940	33574	2105
941	33612	2069
942	33649	2033
943	33690	1998
944	33731	1963
945	33770	1927
946	33811	1892
947	33849	1856
948	33894	1821
949	33934	1786
950	33970	1750
951	34009	1714
952	34046	1679
953	34082	1643
954	34118	1607
955	34154	1571
956	34194	1536
957	34231	1500
958	34267	1465
959	34302	1429
960	34340	1393
961	34376	1357
962	34413	1322
963	34451	1286
964	34486	1250
965	34523	1215
966	34561	1179
967	34598	1143
968	34634	1108
969	34672	1072
970	34714	1036
971	34756	1001
972	34796	965
973	34835	929
974	34879	894
975	34918	858
976	34953	822
977	34990	787
978	35027	751
979	35063	715
980	35100	679
981	35136	644
982	35173	608
983	35211	572
984	35246	536
985	35282	500
986	35319	465
987	35355	429
988	35392	393
989	35431	357
990	35467	322
991	35503	286
992	35541	250
993	35578	214
994	35614	178
995	35651	143
996	35690	107
997	35730	71
998	35770	35
999	35810	0
